"player","fg.p","ft.p","3pm.p","reb.p","ast.p","stl.p","blk.p","pts.p","fg.r","ft.r","3pm.r","reb.r","ast.r","stl.r","blk.r","pts.r","ovr.r","pos.pg","pos.sg","pos.sf","pos.pf","pos.c","price","prim.pos","draft","value.y","cost.y","cost.g.o","ovr.r.ga.s","ovr.r.ga.a","ovr.r.ga.va","ovr.r.fa.s","ovr.r.fa.a","ovr.r.fa.va","cost.r.ga.s","cost.r.ga.a","cost.r.ga.va","cost.r.fa.s","cost.r.fa.a","cost.r.fa.va"
"Eric Gordon",0.421,0.852,3,2.6,3,0.8,0.4,15.4,-1.76,0.77,3.51,-0.11,0.54,0.26,0.57,1.39,5.17,FALSE,TRUE,FALSE,FALSE,FALSE,2,"SG",84,5,3.8,16.8963613035668,6.134,7.58,9.99,4.91,4.52,3.87,18.9154499072177,21.5501078187573,25.1324726221141,15.0266055610236,12.6288780564855,9.44278576464458
"Marvin Williams",0.412,0.811,1.7,6,1.5,0.9,0.8,10.1,-0.9,1,1.33,1.4,-0.07,0.57,0.98,0.63,4.95,FALSE,FALSE,TRUE,TRUE,FALSE,1.1,"SF",139,4,1.5,16.1773672055427,5.402,6.08,7.21,5.246,5.69,6.43,16.6581774370378,17.2855746092407,18.1386514119562,16.0549028051181,15.8978575534076,15.6891763479754
"Michael Kidd-Gilchrist",0.495,0.764,0.1,6.7,1.8,1,0.8,10.8,0.46,0.14,-0.86,1.73,-0.01,1.27,1.8,0.42,4.94,FALSE,FALSE,TRUE,FALSE,FALSE,0,"SF",164,1,1.4,16.1446856556325,4.794,4.575,4.21,5.738,6.935,8.93,14.7832844563419,13.0068262890257,10.5913623362463,17.560623769685,19.3763870180811,21.7891671520093
"JJ Redick",0.458,0.883,2.7,2.2,1.7,0.7,0.1,14.5,-0.38,1.51,2.7,-0.26,-0.04,0.45,-0.38,1.3,4.9,FALSE,TRUE,FALSE,FALSE,FALSE,1.6,"SG",115,4,2,16.0139594559918,5.734,6.985,9.07,4.696,4.39,3.88,17.6819676830757,19.8585096456491,22.8179706388963,14.3716781496063,12.265658112383,9.46718572786071
"Mason Plumlee",0.558,0.594,0,5.1,2.2,0.7,0.7,7.3,1.8,-3.33,-0.88,1.93,1.25,0.91,2.31,0.62,4.62,FALSE,FALSE,FALSE,TRUE,TRUE,1.1,"PF",131,1,1.1,15.0988760585065,4.028,3.14,1.66,5.828,7.64,10.66,12.42116599711,8.92708951858813,4.17616662189283,17.8360605314961,21.3461567149445,26.0103607884008
"Marcus Smart",0.375,0.788,1.3,4.3,3.9,1.6,0.4,10,-2.62,0.61,0.8,0.42,1.85,2.62,0.33,0.61,4.61,TRUE,FALSE,FALSE,FALSE,FALSE,1.1,"PG",124,6,2,15.0661945085964,5.262,6.24,7.87,4.236,3.675,2.74,16.2264586585881,17.7404581515892,19.7990550086124,12.9638902559055,10.2679484198195,6.68558992122122
"Patrick Beverley",0.415,0.742,1.6,4.4,3.5,1.3,0.4,8.9,-0.76,-0.02,1.08,0.86,1.23,1.83,0.03,0.2,4.44,TRUE,FALSE,FALSE,FALSE,FALSE,1.5,"PG",100,8,3.4,14.5106081601232,4.898,5.585,6.73,4.466,4.505,4.57,15.1039898346189,15.8782786501002,16.9310851598426,13.6677842027559,12.5869680629352,11.1507831897741
"Seth Curry",0.452,0.835,1.8,2.8,2.8,1.1,0.1,11.9,0.6,0.54,1.56,-0.22,0.54,1.21,-0.59,0.74,4.38,FALSE,TRUE,FALSE,FALSE,FALSE,1.2,"SG",116,4,1.7,14.314518860662,4.908,5.7,7.02,4.338,4.275,4.17,15.1348268902224,16.2052261961632,17.6606564371612,13.2760519192913,11.9443481618308,10.1747846611287
"Thaddeus Young",0.484,0.6,0.4,6.4,1.7,1.4,0.4,10.6,1.73,-1.49,-0.08,1.14,0.05,2.25,0.2,0.56,4.36,FALSE,FALSE,TRUE,TRUE,FALSE,1.1,"SF",129,4,1.7,14.2491557608417,4.056,3.6,2.84,4.974,5.895,7.43,12.5075097527999,10.2348797028399,7.14476699167207,15.2224717027559,16.4706274652615,18.1291726695889
"Julius Randle",0.471,0.739,0.3,10.2,3.2,0.8,0.5,14.2,0.82,-0.8,-0.58,2.09,1.1,0.29,0.44,0.89,4.25,FALSE,FALSE,FALSE,TRUE,FALSE,5.8,"PF",70,9,6.9,13.8896587118296,4.194,4.11,3.97,4.92,5.925,7.6,12.9330611201289,11.6848209940756,9.98757921018947,15.0572096456693,16.554447452362,18.5439720442632
"Jordan Clarkson",0.427,0.815,1,2.4,1.9,0.8,0.1,10,-0.42,0.28,1.21,0.12,0.72,1.52,-0.56,1.36,4.24,TRUE,TRUE,FALSE,FALSE,FALSE,1.1,"PG",142,2,1.3,13.8569771619194,4.682,5.345,6.45,4.068,3.81,3.38,14.4379094335822,15.1959533365776,16.2266715127763,12.4497416338583,10.645138361772,8.24718756705392
"Tyler Johnson",0.42,0.754,1,3,2.2,0.9,0.4,9.5,-0.69,-0.06,0.78,0.36,0.87,1.37,0.67,0.95,4.24,TRUE,TRUE,FALSE,FALSE,FALSE,1.1,"SG",150,1,1.2,13.8569771619194,4.558,5.035,5.83,4.308,4.41,4.58,14.0555299440982,14.3146164732775,14.6668984371296,13.1842396653543,12.3215381037834,11.1751831529902
"Courtney Lee",0.429,0.829,1.2,3.3,2.4,1.2,0.3,9.7,-0.03,0.65,1.05,0.18,0.47,1.27,-0.01,0.61,4.19,FALSE,TRUE,FALSE,FALSE,FALSE,0,"SG",157,1,1.1,13.6935694123685,4.624,5.275,6.36,4.218,4.26,4.33,14.2590545110816,14.9969417868001,16.000252840505,12.9088029035433,11.9024381682806,10.5651840725868
"Malcolm Brogdon",0.452,0.852,1.3,3.2,4.4,1.3,0.2,11.6,-0.01,0.79,0.51,-0.05,1.5,1.37,-0.42,0.47,4.15,TRUE,TRUE,FALSE,FALSE,FALSE,1.8,"SG",108,6,3.8,13.5628432127277,4.71,5.55,6.95,4.054,3.91,3.67,14.5242531892721,15.7787728752115,17.4845530253947,12.4068959153543,10.9245383187739,8.95478650032186
"Andre Iguodala",0.474,0.674,0.9,3.3,3,1,0.4,6.6,1.13,-0.46,0.26,0.41,1.08,1.12,0.5,0.07,4.12,FALSE,FALSE,TRUE,FALSE,FALSE,1.6,"SF",105,0,1.4,13.4647985629972,4.296,4.56,5,4.528,5.14,6.16,13.2475990872851,12.9641809569305,12.5788151261832,13.8575295275591,14.3611577898972,15.0303773411397
"Andre Drummond",0.524,0.401,0.1,13.4,1.1,1.5,1.2,14.1,2.28,-7.59,-0.84,4.5,-0.19,2.59,2.21,1.16,4.11,FALSE,FALSE,FALSE,FALSE,TRUE,11.7,"C",51,12,15.8,13.432117013087,2.386,-0.199999999999999,-4.51,5.908,8.605,13.1,7.35772146700706,-0.568604427935548,-11.3460912438173,18.0808932086614,24.0423663000127,31.963951813138
"Robin Lopez",0.507,0.765,0,7.1,1.3,0.3,1.3,11.3,0.98,-0.36,-0.88,1.5,-0.27,-0.65,3.17,0.61,4.1,FALSE,FALSE,FALSE,FALSE,TRUE,1.1,"C",136,3,2.1,13.3994354631768,3.798,3.345,2.59,5.23,6.925,9.75,11.7119137182283,9.50990905722207,6.5158262353629,16.005936269685,19.348447022381,23.7899641357325
"Darren Collison",0.454,0.853,1,2.2,3.7,0.9,0.1,11.3,0.49,0.97,0.42,-0.35,1.46,0.85,-0.52,0.74,4.05,TRUE,FALSE,FALSE,FALSE,FALSE,1.1,"PG",128,5,1.8,13.2360277136259,4.62,5.475,6.9,3.974,3.86,3.67,14.2467196888402,15.5655462147357,17.3587648741328,12.162063238189,10.784838340273,8.95478650032186
"Ersan Ilyasova",0.418,0.753,1.8,6.2,1.5,0.8,0.3,12.5,-0.79,0.08,1.65,1.3,0.18,0.57,-0.04,1.09,4.04,FALSE,FALSE,FALSE,TRUE,FALSE,1.1,"PF",143,1,1.1,13.2033461637157,4.422,4.995,5.95,4.134,4.275,4.51,13.6361459878899,14.2008955876904,14.968790000158,12.6517285925197,11.9443481618308,11.0043834104773
"Enes Kanter",0.531,0.81,0.1,6.9,0.9,0.5,0.4,12.6,2.32,0.24,-0.79,1.31,-0.36,-0.23,0.47,1.01,3.97,FALSE,FALSE,FALSE,FALSE,TRUE,1.4,"C",125,1,1.8,12.9745753143444,3.788,3.515,3.06,4.79,6.02,8.07,11.6810766626248,9.99322282096729,7.69823485722413,14.6593565452756,16.8198774115138,19.6907703154216
"Maurice Harkless",0.477,0.636,1,4.7,1.6,1.3,0.8,10.1,1.05,-1.26,0.33,0.6,-0.21,1.4,1.56,0.48,3.95,FALSE,FALSE,TRUE,FALSE,FALSE,1,"SF",146,1,1,12.909212214524,3.722,3.38,2.81,4.592,5.555,7.16,11.4775520956414,9.60941483211079,7.06929410091497,14.0533956692913,15.520667611455,17.4703736627533
"Derrick Rose",0.455,0.848,0.5,2.8,3.4,0.6,0.2,12.5,0.45,1.55,-0.65,0.12,1.25,0.14,-0.25,1.26,3.87,TRUE,FALSE,FALSE,FALSE,FALSE,1.7,"PG",96,1,1.9,12.6477598152425,4.3,4.945,6.02,3.934,4.03,4.19,13.2599339095266,14.0587444807065,15.1448934119246,12.0396468996063,11.2598182671762,10.2235845875609
"Kyle O'Quinn",0.509,0.75,0,2.6,0.8,0.3,0.5,3.3,1.01,0,-0.84,1.09,0.01,-0.1,2.72,-0.09,3.79,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,0,NA,12.386307415961,3.624,3.375,2.96,4.754,6.2,8.61,11.1753489507266,9.5951997214124,7.44665855470046,14.5491818405512,17.3227973341172,21.008368329093
"Bojan Bogdanovic",0.418,0.839,1.3,2.5,1.1,0.4,0.1,8.8,-0.36,1.79,1.69,0.27,-0.03,-0.16,-0.59,1.18,3.77,FALSE,TRUE,FALSE,FALSE,FALSE,0,"SG",153,2,1.2,12.3209443161406,4.46,5.495,7.22,3.634,3.43,3.09,13.7533267991834,15.6224066575292,18.1638090422086,11.1215243602362,9.58341852516486,7.53958863378598
"Wilson Chandler",0.446,0.738,1.6,5.8,1.8,0.8,0.4,12.7,0.12,-0.55,1.08,1.2,0.19,0.36,0.2,1.18,3.77,FALSE,FALSE,TRUE,FALSE,FALSE,2.7,"SF",79,3,2.6,12.3209443161406,3.914,4.13,4.49,4.074,4.53,5.29,12.0696235632295,11.7416814368691,11.2957759833125,12.4681040846457,12.6568180521857,12.9075805413359
"Dwyane Wade",0.451,0.789,0.4,3.4,3.5,1.1,0.4,13.8,-0.77,0.36,-0.08,0.24,0.84,1.43,0.57,1.14,3.73,FALSE,TRUE,FALSE,FALSE,FALSE,4.2,"SG",69,8,5.7,12.1902181164999,3.954,4.29,4.85,3.738,3.75,3.77,12.1929717856437,12.1965649792175,12.2014506723977,11.4398068405512,10.4774983875709,9.19878613248322
"Clint Capela",0.628,0.485,0,8.4,1.3,0.9,1.4,12,3.9,-2.74,-0.88,1.53,-0.39,-0.16,1.87,0.57,3.69,FALSE,FALSE,FALSE,FALSE,TRUE,6.6,"C",62,10,9.1,12.0594919168591,2.888,1.685,-0.32,5.15,7.34,10.99,8.90574165830528,4.79049230535701,-0.805044168075725,15.7611035925197,20.5079568439388,26.8155595745333
"Victor Oladipo",0.421,0.817,1.8,4.6,3.2,1.4,0.4,16.1,-0.48,-0.19,1.38,0.35,0.45,1.18,-0.11,1.08,3.66,FALSE,TRUE,FALSE,FALSE,FALSE,7.2,"SG",63,13,11.7,11.9614472671286,3.988,4.48,5.3,3.612,3.54,3.42,12.2978177746958,12.7367391857563,13.3335440337542,11.0541953740157,9.89075847786694,8.34478741991846
"Pau Gasol",0.487,0.765,0.4,7.8,2.5,0.4,1.2,11.1,0.99,-0.77,0.12,1.4,0.26,-0.47,1.56,0.52,3.61,FALSE,FALSE,FALSE,TRUE,TRUE,2.2,"PF",85,5,2.9,11.7980395175776,3.532,3.415,3.22,4.4,5.585,7.56,10.8916480391739,9.70892060699951,8.10075694126199,13.4657972440945,15.6044875985556,18.4463721913987
"Trevor Booker",0.475,0.659,0.4,7.1,1.9,1.1,0.5,8.6,1.29,-0.74,-0.43,1.76,0.17,1.09,0.13,0.35,3.6,FALSE,FALSE,FALSE,TRUE,FALSE,1,"PF",167,1,1.1,11.7653579676674,3.4,3.1,2.6,4.236,5.19,6.78,10.484598905207,8.81336863300102,6.54098386561527,12.9638902559055,14.5008577683981,16.5431750605401
"Kentavious Caldwell-Pope",0.399,0.826,2.2,3.5,2.3,1.4,0.2,15.1,-1.86,0.71,1.85,0.13,0.58,1.55,-0.42,1.04,3.58,FALSE,TRUE,FALSE,FALSE,FALSE,1.8,"SG",91,7,2.9,11.6999948678471,4.208,5.15,6.72,3.15,2.505,1.43,12.9762329979739,14.6415640193404,16.9059275295902,9.64028666338583,6.99896892289737,3.48919473990743
"Terrence Ross",0.425,0.803,1.9,2.9,1.3,1,0.4,11.1,-0.54,0.32,1.65,-0.08,-0.21,1.46,0.3,0.65,3.56,FALSE,TRUE,TRUE,FALSE,FALSE,0,"SG",181,1,1,11.6346317680267,3.912,4.44,5.32,3.496,3.4,3.24,12.0634561521088,12.6230183001692,13.3838592942589,10.699187992126,9.49959853806429,7.90558808202802
"D'Angelo Russell",0.405,0.773,2.3,4.1,4.6,1.6,0.3,17.6,-1.57,0.12,1.53,-0.01,1.39,1.46,-0.28,0.91,3.55,TRUE,TRUE,FALSE,FALSE,FALSE,8.7,"PG",52,12,11.4,11.6019502181165,4.158,5.07,6.59,3.178,2.62,1.69,12.8220477199561,14.4141222481662,16.5788783363095,9.7259781003937,7.32027887344954,4.12359378352696
"Tim Hardaway Jr.",0.418,0.811,2.2,3.4,2.4,0.8,0.2,15.2,-0.07,-0.07,1.78,0.01,0.49,0.48,-0.32,1.24,3.54,FALSE,TRUE,TRUE,FALSE,FALSE,2.1,"SG",86,7,3.5,11.5692686682063,3.98,4.64,5.74,3.464,3.35,3.16,12.273148130213,13.1916227281048,14.4404797648583,10.6012549212598,9.35989855956335,7.71038837629893
"JaMychal Green",0.476,0.797,0.8,7.6,1.4,0.8,0.5,9.8,0.83,0.33,0.1,1.62,-0.24,0.23,0.33,0.31,3.51,FALSE,FALSE,FALSE,TRUE,FALSE,1,"PF",137,0,1.5,11.4712240184758,3.548,3.605,3.7,4.066,4.9,6.29,10.9409873281396,10.2490948135383,9.30832319337558,12.4436208169291,13.6905978930927,15.3475768629495
"Wesley Matthews",0.383,0.805,2.5,3.7,2.4,1.2,0.2,13,-1.89,0.5,2.22,0.18,0.7,1.15,-0.32,0.92,3.47,FALSE,TRUE,FALSE,FALSE,FALSE,1.1,"SG",122,3,1.5,11.340497818835,4.154,5.18,6.89,3.064,2.455,1.44,12.8097128977147,14.7268546835307,17.3336072438805,9.37709153543307,6.85926894439643,3.51359470312356
"TJ Warren",0.487,0.772,0.6,4.7,1.5,1.2,0.5,13.4,1.08,0.01,-0.42,0.59,-0.3,1.12,0.5,0.84,3.43,FALSE,FALSE,TRUE,FALSE,FALSE,1.1,"SF",126,3,1.5,11.2097716191943,3.288,3.075,2.72,3.864,4.515,5.6,10.1392238824473,8.74229307950908,6.84287542864367,11.8254183070866,12.6149080586354,13.6639794010361
"Dario Saric",0.428,0.784,1.3,6.3,2.6,0.8,0.4,12.8,-1.47,0.14,1.01,1.46,0.49,0.54,0.2,1.03,3.4,FALSE,FALSE,TRUE,TRUE,FALSE,6.6,"SF",67,5,7.5,11.1117269694637,3.728,4.22,5.04,3.438,3.495,3.59,11.4960543290035,11.9975534294401,12.6794456471927,10.5216843011811,9.76502849721609,8.75958679459277
"Evan Fournier",0.443,0.822,2.1,3.1,2.9,1.1,0.1,16.2,-0.59,0.54,1.4,-0.07,0.64,0.82,-0.69,1.29,3.34,FALSE,TRUE,FALSE,FALSE,FALSE,2.8,"SG",81,7,4.6,10.9156376700026,3.856,4.63,5.92,3.07,2.665,1.99,11.8907686407289,13.163192506708,14.8933171094009,9.39545398622047,7.4460088541004,4.85559268001103
"Joe Ingles",0.422,0.766,1.7,3,2.6,1.2,0.1,7.9,-0.08,-0.18,1.31,0.19,0.81,1.73,-0.56,0.08,3.32,FALSE,FALSE,TRUE,TRUE,FALSE,0,"PF",147,1,1.9,10.8502745701822,3.708,4.29,5.26,3.23,3.095,2.87,11.4343802177964,12.1965649792175,13.2329135127447,9.88511934055118,8.64742866920853,7.00278944303099
"Gary Harris",0.486,0.813,1.8,3.2,2.6,1.4,0.2,14.4,1.05,0.04,1.03,-0.22,0.36,0.97,-0.56,0.64,3.3,FALSE,TRUE,FALSE,FALSE,FALSE,1.8,"SG",99,7,4.4,10.7849114703618,3.586,4.015,4.73,3.354,3.435,3.57,11.0581681394331,11.4147338908062,11.8995591093693,10.2646099901575,9.59738852301496,8.7107868681605
"Allen Crabbe",0.449,0.854,1.8,3.2,1.6,0.9,0.3,11.8,0.26,0.63,1.51,0.02,-0.16,0.45,-0.15,0.63,3.18,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,2,1.3,10.3927328714396,3.576,4.17,5.16,3.206,3.245,3.31,11.0273310838295,11.8554023224562,12.9813372102211,9.81166953740157,9.06652860471136,8.07638782454097
"Aaron Gordon",0.464,0.723,1,6.9,2.4,1.1,0.6,14.3,-0.09,-0.71,0.49,0.92,0.26,0.78,0.54,0.98,3.17,FALSE,FALSE,TRUE,TRUE,FALSE,2.4,"PF",78,8,4.5,10.3600513215294,3.178,3.19,3.21,3.444,3.855,4.54,9.80001627080823,9.06924062557202,8.07559931100962,10.5400467519685,10.7708683424229,11.0775833001257
"Taj Gibson",0.531,0.727,0.1,6,1.4,0.7,0.8,8.9,1.47,-0.58,-0.83,1.32,-0.32,0.05,1.39,0.63,3.13,FALSE,FALSE,FALSE,TRUE,FALSE,0,"PF",158,1,1.1,10.2293251218886,2.784,2.265,1.4,3.966,5.22,7.31,8.58503628002836,6.4394451463701,3.5220682353313,12.1375799704724,14.5846777554987,17.8363731109953
"Amir Johnson",0.551,0.629,0.2,3.6,1.3,0.5,0.6,4.5,1.71,-0.7,-0.4,0.72,0.18,0.36,1.29,-0.04,3.12,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,10.1966435719784,2.936,2.66,2.2,3.864,4.98,6.84,9.05375952520232,7.56243889154281,5.53467865552061,11.8254183070866,13.9141178586942,16.6895748398369
"Ryan Anderson",0.42,0.848,2.6,4.9,1.1,0.6,0.2,14.1,-1.08,0.87,2.76,0.54,-0.35,-0.26,-0.35,0.9,3.03,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,"PF",130,3,1.9,9.90250962278676,3.686,4.67,6.31,2.852,2.585,2.14,11.3665386954686,13.2769133922951,15.8744646892432,8.72828494094488,7.22248888849888,5.22159212825307
"Rajon Rondo",0.44,0.608,0.7,4.9,7.7,1.6,0.1,8.1,-1.03,-0.62,0.01,0.67,2.57,1.83,-0.45,0,2.97,TRUE,FALSE,FALSE,FALSE,FALSE,2.7,"PG",87,7,3.8,9.70642032332564,3.362,3.95,4.93,2.808,2.565,2.16,10.3674180939136,11.2299374517271,12.4027117144166,8.59362696850394,7.16660889709851,5.27039205468535
"Patty Mills",0.427,0.813,1.7,2,3.1,0.9,0.1,8.6,-0.4,0.3,1.74,-0.41,1.22,0.78,-0.73,0.45,2.95,TRUE,FALSE,FALSE,FALSE,FALSE,0,"PG",188,0,1.1,9.64105722350526,3.602,4.58,6.21,2.642,2.18,1.41,11.1075074283988,13.0210413997241,15.6228883867196,8.08559916338583,6.09091906264123,3.44039481347516
"PJ Tucker",0.42,0.734,0.8,5.4,1.5,1.3,0.2,6.3,-0.81,0.02,0.37,1.25,-0.12,2.35,-0.18,0,2.87,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,9.37960482422376,2.924,3.005,3.14,2.922,3,3.13,9.01675505847806,8.54328152973164,7.89949589924306,8.94251353346457,8.38199871005673,7.63718848665052
"Nikola Mirotic",0.39,0.812,2.3,5.7,1.5,0.9,0.7,12.7,-1.02,0.01,1.42,0.81,-0.3,0.42,1.05,0.42,2.81,FALSE,FALSE,FALSE,TRUE,FALSE,1.1,"PF",135,4,1.4,9.18351552476264,3.036,3.375,3.94,2.978,3.23,3.65,9.36213008123782,9.5951997214124,9.91210631943237,9.11389640748031,9.02461861116108,8.90598657388959
"Alex Len",0.481,0.713,0,7.3,1,0.6,1.1,8.1,0.7,-0.66,-0.83,1.45,-0.53,-0.04,2.52,0.15,2.76,FALSE,FALSE,FALSE,FALSE,TRUE,0,"C",171,0,2.1,9.0201077752117,2.356,1.75,0.74,3.694,5.095,7.43,7.26521030019641,4.97528874443606,1.86166463867511,11.3051488681102,14.2354278092463,18.1291726695889
"CJ Miles",0.399,0.829,2.6,3.5,1.1,0.9,0.4,12.1,-0.54,0.85,2.13,0.03,-0.5,0.2,0.03,0.56,2.76,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,0,1.1,9.0201077752117,3.256,4,5.24,2.664,2.52,2.28,10.0405453045159,11.372088558711,13.18259825224,8.1529281496063,7.04087891644765,5.56319161327897
"Cody Zeller",0.535,0.721,0,6,1.7,0.9,0.8,9.4,1.94,-1.15,-0.88,0.91,-0.12,0.69,1.15,0.2,2.74,FALSE,FALSE,FALSE,TRUE,TRUE,1,"PF",156,1,1,8.95474467539133,2.31,1.665,0.59,3.54,4.74,6.74,7.12335984442008,4.73363186256345,1.48430018488962,10.8338459645669,13.2435579618896,16.4455752076756
"Jabari Parker",0.506,0.771,0.6,4.7,2,0.9,0.3,13.7,0.94,-0.39,0.28,0.46,0.2,0.33,-0.08,1,2.73,FALSE,FALSE,TRUE,TRUE,FALSE,3.5,"SF",109,3,7.7,8.92206312548114,2.748,2.775,2.82,2.994,3.39,4.05,8.47402287985558,7.88938643760575,7.09445173116733,9.16286294291339,9.47165854236411,9.88198510253502
"Avery Bradley",0.436,0.783,1.8,3.9,2.3,1.4,0.2,14.2,0.16,-0.26,1.05,0.56,0.05,0.88,-0.45,0.73,2.71,FALSE,TRUE,FALSE,FALSE,FALSE,2.9,"SG",77,9,6.1,8.85670002566076,2.878,3.13,3.55,2.764,2.845,2.98,8.87490460270173,8.89865929719135,8.93095873959008,8.45896899606299,7.9489287767038,7.27118903840848
"Marcus Morris",0.421,0.75,1.5,4.9,2.1,0.8,0.3,11.7,-1.32,0.14,1.22,0.72,0.33,0.39,0.03,1.16,2.67,FALSE,FALSE,FALSE,TRUE,FALSE,1.2,"PF",148,1,1.2,8.72597382602001,3.008,3.515,4.36,2.556,2.385,2.1,9.27578632554788,9.99322282096729,10.9687267900318,7.82240403543307,6.6636889744951,5.12399227538853
"Kelly Olynyk",0.46,0.754,1.2,4.3,1.9,0.7,0.4,9.3,1.05,-0.33,0.33,0.7,0.24,0.11,0.16,0.28,2.54,FALSE,FALSE,FALSE,FALSE,TRUE,0,"C",145,1,1.1,8.30111367718758,2.588,2.66,2.78,2.922,3.495,4.45,7.98062999019878,7.56243889154281,6.99382121015787,8.94251353346457,9.76502849721609,10.8579836311805
"Jameer Nelson",NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-0.26,1.01,-0.15,2,0.45,-0.56,0.3,2.49,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,8.13770592763664,3.04,3.865,5.24,2.288,1.985,1.48,9.37446490347924,10.9882805698545,13.18259825224,7.00221456692914,5.54608914648754,3.61119455598811
"Marreese Speights",NA,NA,NA,NA,NA,NA,NA,NA,-0.25,0.95,0.96,0.76,-0.37,-0.5,0.57,0.35,2.47,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,8.07234282781627,2.778,3.24,4.01,2.686,3.01,3.55,8.56653404666623,9.21139173255591,10.0882097311989,8.22025713582677,8.40993870575692,8.66198694172823
"Jamal Crawford",0.405,0.876,0.9,1.2,1.8,0.5,0.1,7.9,-1.34,1.09,1.19,-0.47,0.72,0.66,-0.35,0.96,2.46,FALSE,TRUE,FALSE,FALSE,FALSE,0,"SG",165,0,1.1,8.03966127790608,3.06,3.96,5.46,2.028,1.38,0.3,9.43613901468634,11.2583676731239,13.7360661177921,6.20650836614173,3.8557194066261,0.731998896484075
"George Hill",0.442,0.795,1.7,3.7,3.9,1.1,0.2,13.7,0.44,0.36,0.8,-0.28,0.66,0.33,-0.45,0.59,2.44,TRUE,FALSE,FALSE,FALSE,FALSE,2.6,"PG",82,8,5,7.97429817808571,2.804,3.35,4.26,2.382,2.295,2.15,8.64671039123546,9.52412416792046,10.7171504875081,7.28989296259843,6.4122290131934,5.24599209146921
"Ish Smith",0.421,0.698,0.4,2.7,4.7,0.8,0.3,8.7,-0.48,-0.46,-0.38,0.06,2.25,0.66,0.3,0.45,2.4,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0,1.2,7.84357197844496,2.682,3.105,3.81,2.376,2.34,2.28,8.27049831287215,8.82758374369941,9.58505712615161,7.27153051181102,6.53795899384425,5.56319161327897
"Jon Leuer",0.461,0.816,0.8,5.7,1.6,0.6,0.4,9.7,0.53,0.73,-0.01,0.9,-0.03,-0.26,0.06,0.47,2.4,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,0,1.2,7.84357197844496,2.538,2.745,3.09,2.698,3.145,3.89,7.82644471218103,7.80409577341542,7.77370774798123,8.25698203740157,8.78712864770947,9.49158569107685
"Kent Bazemore",0.446,0.716,1.6,5.3,2.6,1.3,0.9,15.2,-1.24,-0.69,0.76,0.04,0.46,1.58,0.95,0.54,2.39,FALSE,TRUE,FALSE,FALSE,FALSE,1.2,"SG",110,4,1.5,7.81089042853477,2.496,2.655,2.92,2.34,2.265,2.14,7.69692907864612,7.54822378084442,7.346028033691,7.16135580708662,6.32840902609283,5.22159212825307
"Channing Frye",0.429,0.842,1.3,2.8,0.8,0.4,0.4,5.4,0.01,0.42,1.56,0.34,-0.53,-0.2,0.47,0.28,2.36,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,0,1.5,7.71284577880421,2.65,3.085,3.81,2.524,2.77,3.18,8.17181973494079,8.77072330090586,9.58505712615161,7.72447096456693,7.73937880895238,7.7591883027312
"Kyle Korver",0.45,0.857,1.4,2,1.3,0.4,0.2,5.8,0.13,0.41,2.01,-0.18,-0.04,-0.16,-0.11,0.28,2.33,FALSE,TRUE,TRUE,FALSE,FALSE,0,"SG",160,0,1.2,7.61480112907365,2.806,3.52,4.71,2.298,2.25,2.17,8.65287780235617,10.0074379316657,11.8492438488646,7.0328186515748,6.28649903254255,5.29479201790148
"Danny Green",0.401,0.82,1.8,3.6,1.9,1.1,0.9,7.6,-1.12,0.17,1.22,0.01,0.06,0.94,1.12,-0.09,2.31,FALSE,TRUE,FALSE,FALSE,FALSE,1,"SG",190,0,1.3,7.54943802925327,2.6,3.035,3.76,2.312,2.315,2.32,8.01763445692304,8.62857219392197,9.45926897488978,7.07566437007874,6.46810900459378,5.66079146614352
"David Lee",NA,NA,NA,NA,NA,NA,NA,NA,2.16,-0.49,-0.88,1.1,0.05,-0.26,0.54,0.07,2.3,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,7.51675647934308,2.036,1.64,0.98,3.06,4.2,6.1,6.27842452088281,4.66255630907151,2.46544776473191,9.3648499015748,11.7347981940794,14.8839775618429
"Larry Nance Jr.",0.52,0.722,0.1,5.3,1.4,1.1,0.5,6.3,0.98,-0.19,-0.7,0.74,-0.15,1.31,0.5,-0.19,2.3,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,0,1.2,7.51675647934308,2.092,1.78,1.26,2.744,3.41,4.52,6.45111203226269,5.06057940862639,3.16986141179817,8.39776082677165,9.52753853376448,11.0287833736934
